Algorithm,Instance,Instance Size,Run,Final Value,Deviation
ils,data/Benchmarks/ta086,100,4,379011,2.184638778349348
ils,data/Benchmarks/ta086,100,5,378492,2.044711896211459
ils,data/Benchmarks/ta086,100,6,379121,2.2142957283207694
ils,data/Benchmarks/ta086,100,7,379523,2.3226784000345098
ils,data/Benchmarks/ta086,100,8,379360,2.2787321923495854
ils,data/Benchmarks/ta086,100,9,379399,2.2892469291576347
ils,data/Benchmarks/ta086,100,10,378870,2.1466239606587076
ils,data/Benchmarks/ta082,100,1,380978,2.41316555600657
ils,data/Benchmarks/ta082,100,2,379326,1.9690807282776124
ils,data/Benchmarks/ta082,100,3,379980,2.1448867072937974
ils,data/Benchmarks/ta082,100,4,379770,2.0884352461418114
ils,data/Benchmarks/ta082,100,5,380100,2.1771446850949325
ils,data/Benchmarks/ta082,100,6,380051,2.1639726774928025
ils,data/Benchmarks/ta082,100,7,379115,1.91236045064395
ils,data/Benchmarks/ta082,100,8,379236,1.944887244926761
ils,data/Benchmarks/ta082,100,9,377863,1.5758022155854419
ils,data/Benchmarks/ta082,100,10,379667,2.0607471485291704
ils,data/Benchmarks/ta088,100,1,391526,1.820687861647487
ils,data/Benchmarks/ta088,100,2,392074,1.9632013523177945
ils,data/Benchmarks/ta088,100,3,391831,1.900006501527859
ils,data/Benchmarks/ta088,100,4,391543,1.825108900591639
ils,data/Benchmarks/ta088,100,5,391917,1.9223717573629804
ils,data/Benchmarks/ta088,100,6,392218,2.0006501527859046
ils,data/Benchmarks/ta088,100,7,391462,1.8040439503283272
ils,data/Benchmarks/ta088,100,8,391542,1.824848839477277
ils,data/Benchmarks/ta088,100,9,390833,1.6404655093947076
ils,data/Benchmarks/ta088,100,10,391175,1.729406410506469
ils,data/Benchmarks/ta083,100,1,375432,1.4607042188813248
ils,data/Benchmarks/ta083,100,2,376926,1.8644585395119817
ils,data/Benchmarks/ta083,100,3,376529,1.7571690714461377
ils,data/Benchmarks/ta083,100,4,377871,2.1198453085855897
ils,data/Benchmarks/ta083,100,5,377499,2.019312104251852
ils,data/Benchmarks/ta083,100,6,376486,1.7455482978269155
ils,data/Benchmarks/ta083,100,7,376034,1.6233950495504381
ils,data/Benchmarks/ta083,100,8,377208,1.9406691944101377
ils,data/Benchmarks/ta083,100,9,376907,1.859323779075581
ils,data/Benchmarks/ta083,100,10,376888,1.8541890186391803
genetic,data/Benchmarks/ta082,100,1,379181,1.930102338434574
genetic,data/Benchmarks/ta082,100,2,377851,1.5725764178053283
genetic,data/Benchmarks/ta082,100,3,380495,2.2833271953570016
genetic,data/Benchmarks/ta082,100,4,380504,2.285746543692087
genetic,data/Benchmarks/ta082,100,5,377640,1.5158561401716664
genetic,data/Benchmarks/ta082,100,6,380382,2.2529509329275994
genetic,data/Benchmarks/ta082,100,7,379609,2.0451557925919555
genetic,data/Benchmarks/ta082,100,8,381032,2.427681646017081
genetic,data/Benchmarks/ta082,100,9,381734,2.61639081615372
genetic,data/Benchmarks/ta082,100,10,378508,1.7491888462665424
genetic,data/Benchmarks/ta083,100,1,377518,2.0244468646882523
genetic,data/Benchmarks/ta083,100,2,375465,1.4696224870077048
genetic,data/Benchmarks/ta083,100,3,375157,1.3863853178281584
genetic,data/Benchmarks/ta083,100,4,376435,1.7317655198134192
genetic,data/Benchmarks/ta083,100,5,376235,1.677715409956571
genetic,data/Benchmarks/ta083,100,6,376304,1.6963626978571833
genetic,data/Benchmarks/ta083,100,7,376342,1.7066322187299845
genetic,data/Benchmarks/ta083,100,8,376516,1.7536558143054426
genetic,data/Benchmarks/ta083,100,9,374984,1.3396319728019848
genetic,data/Benchmarks/ta083,100,10,376331,1.7036594626878578
genetic,data/Benchmarks/ta086,100,1,380276,2.525693703020695
genetic,data/Benchmarks/ta086,100,2,378359,2.0088539476096496
genetic,data/Benchmarks/ta086,100,3,378989,2.178707388355064
genetic,data/Benchmarks/ta086,100,4,379232,2.244222286928295
genetic,data/Benchmarks/ta086,100,5,379416,2.2938302759714
genetic,data/Benchmarks/ta086,100,6,378354,2.007505904429131
genetic,data/Benchmarks/ta086,100,7,377840,1.8689270654717611
genetic,data/Benchmarks/ta086,100,8,379872,2.416771814034747
genetic,data/Benchmarks/ta086,100,9,376485,1.5036073635510694
genetic,data/Benchmarks/ta086,100,10,378414,2.023682422595361
ils,data/Benchmarks/ta057,50,1,124317,1.16943359375
ils,data/Benchmarks/ta057,50,2,124476,1.298828125
ils,data/Benchmarks/ta057,50,3,124475,1.2980143229166665
ils,data/Benchmarks/ta057,50,4,124293,1.14990234375
ils,data/Benchmarks/ta057,50,5,124542,1.3525390625
ils,data/Benchmarks/ta057,50,6,124245,1.11083984375
ils,data/Benchmarks/ta057,50,7,124316,1.1686197916666667
ils,data/Benchmarks/ta057,50,8,124379,1.2198893229166667
ils,data/Benchmarks/ta057,50,9,124290,1.1474609375
ils,data/Benchmarks/ta057,50,10,124096,0.9895833333333333
genetic,data/Benchmarks/ta057,50,1,123615,0.59814453125
genetic,data/Benchmarks/ta057,50,2,124475,1.2980143229166665
genetic,data/Benchmarks/ta057,50,3,123526,0.5257161458333334
genetic,data/Benchmarks/ta057,50,4,124153,1.0359700520833333
genetic,data/Benchmarks/ta057,50,5,123469,0.4793294270833333
genetic,data/Benchmarks/ta057,50,6,124195,1.0701497395833335
genetic,data/Benchmarks/ta057,50,7,123518,0.5192057291666666
genetic,data/Benchmarks/ta057,50,8,123930,0.8544921875
genetic,data/Benchmarks/ta057,50,9,124184,1.0611979166666667
genetic,data/Benchmarks/ta057,50,10,124030,0.9358723958333334
ils,data/Benchmarks/ta060,50,1,125188,0.995530600061313
ils,data/Benchmarks/ta060,50,2,125326,1.1068622230827565
ils,data/Benchmarks/ta060,50,3,125336,1.114929731997354
ils,data/Benchmarks/ta060,50,4,125445,1.202865579166465
ils,data/Benchmarks/ta060,50,5,125621,1.3448537360633783
ils,data/Benchmarks/ta060,50,6,125318,1.1004082159510786
ils,data/Benchmarks/ta060,50,7,125163,0.9753618277748196
