Algorithm,Instance,Instance Size,Run,Final Value,Deviation
genetic,data/Benchmarks/ta104,200,1,1276312,4.048248324303349
genetic,data/Benchmarks/ta104,200,2,1264986,3.1249235725803692
genetic,data/Benchmarks/ta104,200,3,1264034,3.04731407552578
genetic,data/Benchmarks/ta106,200,1,1256820,3.0435402862019942
genetic,data/Benchmarks/ta106,200,2,1251866,2.6373741696715087
genetic,data/Benchmarks/ta106,200,3,1261999,3.4681535921187048
ils,data/Benchmarks/ta060,50,1,125556,1.2924149281184956
ils,data/Benchmarks/ta060,50,2,125509,1.2544976362198879
ils,data/Benchmarks/ta060,50,3,125530,1.2714394049405424
ils,data/Benchmarks/ta060,50,4,125696,1.4053600529228585
ils,data/Benchmarks/ta060,50,5,125417,1.1802765542055924
ils,data/Benchmarks/ta060,50,6,125727,1.4303693305581102
ils,data/Benchmarks/ta060,50,7,125173,0.983429336689417
ils,data/Benchmarks/ta060,50,8,125586,1.3166174548622875
ils,data/Benchmarks/ta060,50,9,125215,1.0173128741307258
ils,data/Benchmarks/ta060,50,10,125486,1.2359423657163142
genetic,data/Benchmarks/ta060,50,1,125479,1.2302951094760959
genetic,data/Benchmarks/ta060,50,2,125540,1.2795069138551398
genetic,data/Benchmarks/ta060,50,3,125407,1.172209045290995
genetic,data/Benchmarks/ta060,50,4,125246,1.0423221517659778
genetic,data/Benchmarks/ta060,50,5,125577,1.30935669683915
genetic,data/Benchmarks/ta060,50,6,125210,1.0132791196734272
genetic,data/Benchmarks/ta060,50,7,124830,0.7067137809187279
genetic,data/Benchmarks/ta060,50,8,125615,1.34001323071462
genetic,data/Benchmarks/ta060,50,9,125294,1.081046194556045
genetic,data/Benchmarks/ta060,50,10,125150,0.9648740661858433
ils,data/Benchmarks/ta086,100,1,379584,2.3391245268368435
ils,data/Benchmarks/ta086,100,2,378968,2.1730456069968835
ils,data/Benchmarks/ta086,100,3,378528,2.0544178071111974
ils,data/Benchmarks/ta086,100,4,377561,1.7937062559987922
ils,data/Benchmarks/ta086,100,5,378565,2.064393326647039
ils,data/Benchmarks/ta086,100,6,378813,2.1312562684007896
ils,data/Benchmarks/ta086,100,7,378712,2.1040257961543025
ils,data/Benchmarks/ta086,100,8,376704,1.5626516548578087
ils,data/Benchmarks/ta086,100,9,378475,2.0401285493976946
ils,data/Benchmarks/ta086,100,10,378168,1.9573586981138178
ils,data/Benchmarks/ta088,100,1,391562,1.8300500617645148
ils,data/Benchmarks/ta088,100,2,391349,1.7746570444054353
ils,data/Benchmarks/ta088,100,3,391572,1.8326506729081333
ils,data/Benchmarks/ta088,100,4,390701,1.6061374422989403
ils,data/Benchmarks/ta088,100,5,391596,1.8388921396528184
ils,data/Benchmarks/ta088,100,6,391179,1.7304466549639166
ils,data/Benchmarks/ta088,100,7,390989,1.6810350432351604
ils,data/Benchmarks/ta088,100,8,391637,1.8495546453416551
ils,data/Benchmarks/ta088,100,9,391247,1.7481308107405242
ils,data/Benchmarks/ta088,100,10,390626,1.5866328587217995
ils,data/Benchmarks/ta083,100,1,376471,1.7414945395876518
ils,data/Benchmarks/ta083,100,2,376877,1.8512162625970539
ils,data/Benchmarks/ta083,100,3,375807,1.5620481748629154
ils,data/Benchmarks/ta083,100,4,376771,1.822569704372924
ils,data/Benchmarks/ta083,100,5,377023,1.890672842792553
ils,data/Benchmarks/ta083,100,6,376753,1.8177051944858076
ils,data/Benchmarks/ta083,100,7,376244,1.680147664900129
ils,data/Benchmarks/ta083,100,8,377161,1.9279674185937783
ils,data/Benchmarks/ta083,100,9,376737,1.81338118569726
ils,data/Benchmarks/ta083,100,10,376204,1.6693376429287592
ils,data/Benchmarks/ta082,100,1,379485,2.011822548864116
ils,data/Benchmarks/ta082,100,2,378673,1.793543565743103
ils,data/Benchmarks/ta082,100,3,379129,1.9161238813874155
ils,data/Benchmarks/ta082,100,4,379101,1.908597019900484
ils,data/Benchmarks/ta082,100,5,378429,1.7279523442141282
ils,data/Benchmarks/ta082,100,6,379052,1.8954250122983538
ils,data/Benchmarks/ta082,100,7,379315,1.9661237469791748
ils,data/Benchmarks/ta082,100,8,378767,1.8188123150206583
ils,data/Benchmarks/ta082,100,9,378386,1.716393235502055
ils,data/Benchmarks/ta082,100,10,378841,1.8387047346646916
genetic,data/Benchmarks/ta086,100,1,377699,1.8309122477811208
